Date,Name,Year,Letterboxd URI
2023-06-17,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2023-06-17,Midsommar,2019,https://boxd.it/jhxe
2023-06-17,The Shining,1980,https://boxd.it/29Nu
2023-06-17,Hereditary,2018,https://boxd.it/hNVe
2023-06-17,Jojo Rabbit,2019,https://boxd.it/iEBG
2023-06-17,The Godfather,1972,https://boxd.it/2aNK
2023-06-17,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2023-06-17,Call Me by Your Name,2017,https://boxd.it/dYmm
2023-06-17,Taxi Driver,1976,https://boxd.it/2b8y
2025-09-10,La Haine,1995,https://boxd.it/2as8
2025-09-10,Stress Positions,2024,https://boxd.it/K5cs
2025-09-10,A Clockwork Orange,1971,https://boxd.it/2aVE
